scenario_index,frame_index,source_available,primary_action,guarded_action,obj_removed,missing_recovered,missing_candidates,missing_gt,missing_tp,missing_fp,EgoOnly_wp_coll,EgoOnly_warned,EgoOnly_geom,EgoOnly_mod,EgoOnly_agents,CleanCoop_wp_coll,CleanCoop_warned,CleanCoop_geom,CleanCoop_mod,CleanCoop_agents,RealPrimaryRaw_wp_coll,RealPrimaryRaw_warned,RealPrimaryRaw_geom,RealPrimaryRaw_mod,RealPrimaryRaw_agents,RealPrimaryTrustCalib_wp_coll,RealPrimaryTrustCalib_warned,RealPrimaryTrustCalib_geom,RealPrimaryTrustCalib_mod,RealPrimaryTrustCalib_agents,RealMultiEvidenceGuard_wp_coll,RealMultiEvidenceGuard_warned,RealMultiEvidenceGuard_geom,RealMultiEvidenceGuard_mod,RealMultiEvidenceGuard_agents,guard_minus_ego_wp_coll,guard_minus_clean_wp_coll
34,8,4,accept,accept,0,2,2,10,2,0,1,1,9,0.9,29,1,1,9,0.9,39,1,1,9,0.9,29,1,1,9,0.9,29,1,1,9,0.9,31,0,0
34,9,4,accept,accept,0,1,1,10,1,0,0,1,2,0.2,28,0,1,2,0.2,39,0,1,2,0.2,29,0,1,2,0.2,29,0,1,2,0.2,30,0,0
34,10,4,accept,accept,0,1,1,11,1,0,0,1,2,0.2,28,0,1,2,0.2,39,0,1,2,0.2,28,0,1,2,0.2,28,0,1,2,0.2,29,0,0
34,11,4,accept,accept,0,2,2,11,2,0,0,1,2,0.2,28,0,1,2,0.2,39,0,1,2,0.2,28,0,1,2,0.2,28,0,1,2,0.2,30,0,0
34,12,4,accept,accept,0,1,1,10,1,0,0,1,2,0.2,29,0,1,2,0.2,39,0,1,2,0.2,29,0,1,2,0.2,29,0,1,2,0.2,30,0,0
34,13,4,accept,accept,0,2,2,7,2,0,0,1,2,0.2,32,0,1,2,0.2,39,0,1,2,0.2,32,0,1,2,0.2,32,0,1,2,0.2,34,0,0
34,14,4,accept,accept,0,2,2,9,2,0,0,1,3,0.3,30,0,1,3,0.3,39,0,1,3,0.3,30,0,1,3,0.3,30,0,1,3,0.3,32,0,0
34,15,4,accept,accept,0,2,2,11,2,0,0,1,3,0.3,28,0,1,3,0.3,39,0,1,3,0.3,28,0,1,3,0.3,28,0,1,3,0.3,30,0,0
34,16,4,accept,accept,0,2,2,10,2,0,0,1,3,0.3,29,0,1,3,0.3,39,0,1,3,0.3,29,0,1,3,0.3,29,0,1,3,0.3,31,0,0
34,17,4,accept,accept,0,2,2,9,2,0,0,1,4,0.4,30,0,1,4,0.4,39,0,1,4,0.4,30,0,1,4,0.4,30,0,1,4,0.4,32,0,0
