mode,support_modes,scenario_index,frame_index,method,wp_coll,wp_total,warned,avg_mod,geom,p_coll,report_action,obj_removed,fake_seen,fake_removed,real_removed,missing_candidates,missing_recovered,missing_gt,missing_recovery_tp,missing_recovery_fp,smooth_agents
fake_front,clean+fake_front,12,9,CleanCoop,0,10,0,0.0,0,0.11145170778036118,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,9,PrimaryRaw,0,10,1,1.0,10,0.11145170778036118,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,9,PrimaryTrustCalib,0,10,1,1.0,10,0.11145170778036118,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,9,MultiPeerObjectGuard,0,10,1,1.0,10,0.11145170778036118,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,10,EgoOnly,0,10,1,0.0,0,0.4019470810890198,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,10,CleanCoop,0,10,0,0.0,0,0.1185947135090828,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,10,PrimaryRaw,0,10,1,1.0,10,0.1185947135090828,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,10,PrimaryTrustCalib,0,10,1,1.0,10,0.1185947135090828,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,10,MultiPeerObjectGuard,0,10,1,1.0,10,0.1185947135090828,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,11,EgoOnly,0,10,1,0.0,0,0.6561183333396912,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,11,CleanCoop,0,10,0,0.0,0,0.12641072273254395,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,11,PrimaryRaw,0,10,1,1.0,10,0.12641072273254395,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,11,PrimaryTrustCalib,0,10,1,1.0,10,0.12641072273254395,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,11,MultiPeerObjectGuard,0,10,1,1.0,10,0.12641072273254395,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,12,EgoOnly,0,10,1,0.0,0,0.8061890006065369,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,12,CleanCoop,0,10,0,0.0,0,0.14124038815498352,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,12,PrimaryRaw,0,10,1,1.0,10,0.14124038815498352,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,12,PrimaryTrustCalib,0,10,1,1.0,10,0.14124038815498352,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,12,MultiPeerObjectGuard,0,10,1,1.0,10,0.14124038815498352,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,13,EgoOnly,0,10,1,0.0,0,0.8587881326675415,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,13,CleanCoop,0,10,0,0.0,0,0.1669478416442871,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,13,PrimaryRaw,0,10,1,1.0,10,0.1669478416442871,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,13,PrimaryTrustCalib,0,10,1,1.0,10,0.1669478416442871,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,13,MultiPeerObjectGuard,0,10,1,1.0,10,0.1669478416442871,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,14,EgoOnly,0,10,1,0.0,0,0.8869273066520691,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,14,CleanCoop,0,10,0,0.0,0,0.20666541159152985,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,14,PrimaryRaw,0,10,1,1.0,10,0.20666541159152985,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,14,PrimaryTrustCalib,0,10,1,1.0,10,0.20666541159152985,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,14,MultiPeerObjectGuard,0,10,1,1.0,10,0.20666541159152985,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,15,EgoOnly,0,10,1,0.0,0,0.9073237180709839,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,15,CleanCoop,0,10,0,0.0,0,0.24778659641742706,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,15,PrimaryRaw,0,10,1,1.0,10,0.24778659641742706,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,15,PrimaryTrustCalib,0,10,1,1.0,10,0.24778659641742706,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,15,MultiPeerObjectGuard,0,10,1,1.0,10,0.24778659641742706,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,16,EgoOnly,0,10,1,0.0,0,0.9189062714576721,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,16,CleanCoop,0,10,0,0.0,0,0.2577671408653259,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,16,PrimaryRaw,0,10,1,1.0,10,0.2577671408653259,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,16,PrimaryTrustCalib,0,10,1,1.0,10,0.2577671408653259,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,16,MultiPeerObjectGuard,0,10,1,1.0,10,0.2577671408653259,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,17,EgoOnly,0,10,1,0.0,0,0.8435673117637634,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,17,CleanCoop,0,10,1,0.0,0,0.33347970247268677,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,17,PrimaryRaw,0,10,1,1.0,10,0.33347970247268677,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,17,PrimaryTrustCalib,0,10,1,1.0,10,0.33347970247268677,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,17,MultiPeerObjectGuard,0,10,1,1.0,10,0.33347970247268677,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,18,EgoOnly,0,10,1,0.1,1,0.9085433483123779,,0,0,0,0,0,0,0,0,0,0
